Date,Pageviews
1/1/2022,632
1/2/2022,742
1/3/2022,1134
1/4/2022,1217
1/5/2022,1378
1/6/2022,1249
1/7/2022,1143
1/8/2022,815
1/9/2022,851
1/10/2022,1416
1/11/2022,1273
1/12/2022,1443
1/13/2022,1309
1/14/2022,1156
1/15/2022,905
1/16/2022,898
1/17/2022,1368
1/18/2022,1428
1/19/2022,1459
1/20/2022,1400
1/21/2022,1252
1/22/2022,865
1/23/2022,965
1/24/2022,1447
1/25/2022,1429
1/26/2022,1341
1/27/2022,1467
1/28/2022,1289
1/29/2022,977
1/30/2022,948
1/31/2022,1364
2/1/2022,1384
2/2/2022,1421
2/3/2022,1457
2/4/2022,1309
2/5/2022,913
2/6/2022,959
2/7/2022,1607
2/8/2022,1609
2/9/2022,1419
2/10/2022,1410
2/11/2022,1309
2/12/2022,948
2/13/2022,990
2/14/2022,1481
2/15/2022,1583
2/16/2022,1565
2/17/2022,1541
2/18/2022,1304
2/19/2022,970
2/20/2022,929
2/21/2022,1301
2/22/2022,1525
2/23/2022,1550
2/24/2022,1369
2/25/2022,1192
2/26/2022,764
2/27/2022,768
2/28/2022,1147
3/1/2022,1250
3/2/2022,1359
3/3/2022,1366
3/4/2022,1214
3/5/2022,963
3/6/2022,937
3/7/2022,1321
3/8/2022,1419
3/9/2022,1865
3/10/2022,1499
3/11/2022,1404
3/12/2022,1205
3/13/2022,1457
3/14/2022,1732
3/15/2022,1624
3/16/2022,1328
3/17/2022,1313
3/18/2022,1064
3/19/2022,918
3/20/2022,954
3/21/2022,1550
3/22/2022,1382
3/23/2022,1479
3/24/2022,1490
3/25/2022,1315
3/26/2022,906
3/27/2022,879
3/28/2022,1505
3/29/2022,1646
3/30/2022,1655
3/31/2022,1493
4/1/2022,1257
4/2/2022,812
4/3/2022,880
4/4/2022,1372
4/5/2022,1611
4/6/2022,1646
4/7/2022,1465
4/8/2022,1286
4/9/2022,921
4/10/2022,930
4/11/2022,1325
4/12/2022,1380
4/13/2022,1268
4/14/2022,1199
4/15/2022,1097
4/16/2022,871
4/17/2022,802
4/18/2022,1195
4/19/2022,1612
4/20/2022,1510
4/21/2022,1512
4/22/2022,1332
4/23/2022,904
4/24/2022,978
4/25/2022,1543
4/26/2022,1647
4/27/2022,1447
4/28/2022,1417
4/29/2022,1193
4/30/2022,853
5/1/2022,856
5/2/2022,1241
5/3/2022,1244
5/4/2022,1325
5/5/2022,1339
5/6/2022,1280
5/7/2022,819
5/8/2022,1004
5/9/2022,1518
5/10/2022,1881
5/11/2022,1707
5/12/2022,1557
5/13/2022,1375
5/14/2022,940
5/15/2022,986
5/16/2022,1551
5/17/2022,1686
5/18/2022,1516
5/19/2022,1507
5/20/2022,1367
5/21/2022,938
5/22/2022,884
5/23/2022,1632
5/24/2022,1742
5/25/2022,1661
5/26/2022,1485
5/27/2022,1327
5/28/2022,1033
5/29/2022,1013
5/30/2022,1627
5/31/2022,1545
6/1/2022,1481
6/2/2022,1460
6/3/2022,1452
6/4/2022,985
6/5/2022,907
6/6/2022,1449
6/7/2022,2723
6/8/2022,1528
6/9/2022,1574
6/10/2022,1392
6/11/2022,1010
6/12/2022,1035
6/13/2022,1576
6/14/2022,1657
6/15/2022,1628
6/16/2022,1589
6/17/2022,1363
6/18/2022,980
6/19/2022,1071
6/20/2022,1527
6/21/2022,1662
6/22/2022,1609
6/23/2022,1427
6/24/2022,1292
6/25/2022,1037
6/26/2022,949
6/27/2022,1566
6/28/2022,1690
6/29/2022,1579
6/30/2022,1613
7/1/2022,1463
7/2/2022,1041
7/3/2022,1041
7/4/2022,1404
7/5/2022,1541
7/6/2022,1578
7/7/2022,1503
7/8/2022,1289
7/9/2022,879
7/10/2022,832
7/11/2022,1546
7/12/2022,1508
7/13/2022,1522
7/14/2022,1480
7/15/2022,1357
7/16/2022,1092
7/17/2022,1070
7/18/2022,1654
7/19/2022,1804
7/20/2022,1791
7/21/2022,1615
7/22/2022,1459
7/23/2022,1208
7/24/2022,996
7/25/2022,1762
7/26/2022,1633
7/27/2022,1671
7/28/2022,1678
7/29/2022,1436
7/30/2022,1058
7/31/2022,1060
8/1/2022,1618
8/2/2022,1601
8/3/2022,1694
8/4/2022,1482
8/5/2022,1369
8/6/2022,1057
8/7/2022,956
8/8/2022,1532
8/9/2022,1461
8/10/2022,1737
8/11/2022,1513
8/12/2022,1368
8/13/2022,934
8/14/2022,889
8/15/2022,1492
8/16/2022,1767
8/17/2022,1747
8/18/2022,1593
8/19/2022,1375
8/20/2022,1030
8/21/2022,1100
8/22/2022,1670
8/23/2022,1684
